"Index","Count","Hash","Size","Format","Levels","Png","Dds"
"56","4","0xD9434CC7E3A4BE0C","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_056.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_D9434CC7E3A4BE0C_32x32_DXT1.dds"
"57","4","0xFF677308BBD045ED","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_057.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_FF677308BBD045ED_32x32_DXT1.dds"
"58","4","0x1B97BE4F8A646D71","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_058.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_1B97BE4F8A646D71_128x64_DXT1.dds"
"59","4","0x9F98ECFF37D7C5F8","128x128","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_059.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_9F98ECFF37D7C5F8_128x128_A8R8G8B8.dds"
"60","4","0x14A27F70E2C91401","256x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_060.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_14A27F70E2C91401_256x128_DXT1.dds"
"61","4","0xEADEE21A7DE0833B","128x128","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_061.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_EADEE21A7DE0833B_128x128_A8R8G8B8.dds"
"62","4","0xEECEA3BBFA6B2448","64x128","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_062.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_EECEA3BBFA6B2448_64x128_A8R8G8B8.dds"
"63","4","0x148AE56EDA3279FC","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_063.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_148AE56EDA3279FC_128x128_DXT1.dds"
"64","4","0x6253B8DD04FA60E1","64x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_064.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6253B8DD04FA60E1_64x128_DXT1.dds"
"65","4","0x3F6C008F32FE3D33","16x16","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_065.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_3F6C008F32FE3D33_16x16_DXT1.dds"
"66","4","0x4103498FC4CF3024","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_066.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_4103498FC4CF3024_128x128_DXT1.dds"
"67","4","0x021F3666624D2A48","16x16","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_067.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_021F3666624D2A48_16x16_A8R8G8B8.dds"
"68","4","0xC2256B6966DF5683","16x16","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_068.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_C2256B6966DF5683_16x16_A8R8G8B8.dds"
"69","4","0x086D805FA0A96A4B","128x128","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_069.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_086D805FA0A96A4B_128x128_DXT1.dds"
"70","4","0xA9C91491831CB8A1","16x16","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_070.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A9C91491831CB8A1_16x16_A8R8G8B8.dds"
"71","4","0x6FDD8382E460FFFC","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_071.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6FDD8382E460FFFC_128x64_DXT1.dds"
"72","4","0xC3BF9A51C6710C2F","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_072.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_C3BF9A51C6710C2F_128x64_DXT1.dds"
"73","4","0xBE65D0900E1007CB","32x32","A8R8G8B8","0","re_docs\hud_pause_candidate_png_2100\cand_073.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_BE65D0900E1007CB_32x32_A8R8G8B8.dds"
"74","4","0x11835E0D4A798013","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_074.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_11835E0D4A798013_128x64_DXT1.dds"
"75","4","0xA1304DE48874A385","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_075.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_A1304DE48874A385_128x32_DXT1.dds"
"76","4","0x0F6C2D584BB48669","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_076.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_0F6C2D584BB48669_128x64_DXT1.dds"
"77","4","0x49B9E18AEB8F3018","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_077.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_49B9E18AEB8F3018_128x64_DXT1.dds"
"78","4","0x2D591C2499653E9A","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_078.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_2D591C2499653E9A_128x64_DXT1.dds"
"79","4","0x1F5A6F6A1B98D80E","128x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_079.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_1F5A6F6A1B98D80E_128x64_DXT1.dds"
"80","4","0xDF15E7B8D489C249","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_080.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_DF15E7B8D489C249_128x32_DXT1.dds"
"81","4","0x15A223081A3F4E7B","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_081.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_15A223081A3F4E7B_128x32_DXT1.dds"
"82","4","0x6C5CD0B0BEC59CDC","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_082.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6C5CD0B0BEC59CDC_128x32_DXT1.dds"
"83","4","0x3090DB818F2BACF1","128x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_083.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_3090DB818F2BACF1_128x32_DXT1.dds"
"84","4","0x5EF9EBC260F4B6BC","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_084.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_5EF9EBC260F4B6BC_64x64_DXT1.dds"
"85","4","0xBF73D3FB1818F2A4","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_085.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_BF73D3FB1818F2A4_64x64_DXT1.dds"
"86","4","0xE74D3E98F36BF71A","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_086.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_E74D3E98F36BF71A_64x64_DXT1.dds"
"87","4","0xB6C9BFE1B58FDDB0","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_087.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_B6C9BFE1B58FDDB0_64x64_DXT1.dds"
"88","4","0x43D1645B5C3DEECF","32x64","A8R8G8B8","7","re_docs\hud_pause_candidate_png_2100\cand_088.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_43D1645B5C3DEECF_32x64_A8R8G8B8.dds"
"89","4","0x6A50760AF2E2D0C6","32x32","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_089.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_6A50760AF2E2D0C6_32x32_DXT1.dds"
"90","4","0x2D9CCEBE93E91441","64x64","DXT1","0","re_docs\hud_pause_candidate_png_2100\cand_090.png","rtx-remix\logs\tod-candidate-textures\ui_candidate_2D9CCEBE93E91441_64x64_DXT1.dds"
